trial,state,val_psnr,val_ssim,hidden_dim,learning_rate,num_res_blocks,temporal_loss_weight
0,RUNNING,,,48,1.7737856322713835e-05,4,0.16318290469262914
1,COMPLETE,31.6678,0.8873,48,1.5013147858422375e-05,4,0.13923196540141441
2,COMPLETE,34.5953,0.9511,64,0.0037133609643113974,3,0.1114883773444198
3,COMPLETE,35.1554,0.9551,48,0.0001787808910733449,5,0.11086758602834076
4,COMPLETE,36.6327,0.965,96,0.000754978485551743,3,0.05982360029023376
5,COMPLETE,34.8374,0.9531,48,0.0002047743095478109,3,0.16870946666954012
6,PRUNED,30.3834,0.8528,48,1.3123396018321544e-05,4,0.06578958053307213
7,PRUNED,31.6873,0.8822,96,1.178216838949127e-05,4,0.17684351648475316
8,PRUNED,4.497,0.0027,96,0.003748363378522677,5,0.1026622854989921
9,COMPLETE,35.2691,0.9559,96,0.0001154950071243567,3,0.1391271434544175
10,PRUNED,33.7298,0.9344,48,4.13140444586523e-05,4,0.08971140583803627
11,COMPLETE,36.2386,0.9624,64,0.0008931926894900398,5,0.05400406458155502
12,COMPLETE,36.1271,0.9617,64,0.0008173601714179666,5,0.051164573325496815
13,COMPLETE,36.2926,0.963,64,0.0010539210201928441,5,0.06848517984361258
14,COMPLETE,36.2483,0.9624,64,0.0009423001105980103,3,0.0829921804198175
15,PRUNED,4.6517,0.0025,96,0.009593485600244964,4,0.0739433868727873
16,COMPLETE,35.756,0.9592,64,0.0004406351991938736,5,0.07057138545976885
17,COMPLETE,36.4755,0.964,96,0.002280144591234235,3,0.19882491133362507
18,COMPLETE,36.0584,0.9612,96,0.0026821901669877766,3,0.19890720028454223
19,PRUNED,5.2807,0.0029,96,0.008499125563291222,3,0.1410865380045943
20,COMPLETE,36.6801,0.9653,96,0.0019114667284562655,3,0.16040658389164664
21,COMPLETE,36.2635,0.9626,96,0.00043287773879205333,3,0.15933644421732893
22,COMPLETE,36.3996,0.9637,96,0.0022089755021881415,3,0.19819635390405133
23,FAIL,,0.9628,96,0.001951607865360223,3,0.1821251446659183
24,COMPLETE,36.8044,0.966,96,0.0015988531100774848,3,0.18486158531061045
25,COMPLETE,36.8026,0.9661,96,0.001537752435598547,3,0.1813576127523835
26,COMPLETE,36.7248,0.9657,96,0.001621669224147045,3,0.18212190901594183
27,PRUNED,35.9998,0.9609,96,0.0004211557585012483,3,0.18230619664251857
28,PRUNED,4.4782,0.0027,96,0.005121579270016816,4,0.18720165954829962
29,COMPLETE,36.7472,0.9657,96,0.0015388066072133026,3,0.1551777291825168
30,COMPLETE,36.7711,0.9657,96,0.0014341115667152854,3,0.15119961283207864
31,PRUNED,4.1218,0.107,96,0.005360179793291854,4,0.1384360970616781
32,PRUNED,34.3751,0.9427,96,4.1288839112573826e-05,4,0.14914566117644504
33,COMPLETE,36.7496,0.9657,96,0.001321266416356008,3,0.1276502308290084
34,COMPLETE,36.7958,0.9659,96,0.0013329560189638935,3,0.12367247405414444
35,COMPLETE,36.4818,0.9642,96,0.0005809724439613959,3,0.17511930477033144
36,PRUNED,35.7044,0.9587,48,0.002995094633763592,3,0.12360829245593444
37,PRUNED,35.7064,0.959,96,0.0002850477089272265,3,0.16815904859296238
38,PRUNED,35.1295,0.9549,48,0.004220632446512455,3,0.12294055058420629
39,COMPLETE,36.7774,0.9658,96,0.0012768258222273054,3,0.10530151240833201
40,COMPLETE,36.5164,0.9643,96,0.0005988810680096458,3,0.09814983713240011
41,PRUNED,35.4186,0.9567,96,0.00019674674041088834,3,0.11404443825711251
42,PRUNED,34.5315,0.9492,48,0.00010660427830831191,3,0.10599818785582318
43,COMPLETE,36.7144,0.9655,96,0.0011547489111920065,3,0.19060067453936982
44,COMPLETE,36.8161,0.9661,96,0.001444760232466623,3,0.17164818098576287
45,COMPLETE,36.5894,0.9647,96,0.0006739737919374581,3,0.17169193123512544
46,PRUNED,34.599,0.9513,96,0.003050888488481494,3,0.09289516282173041
47,PRUNED,35.733,0.959,96,0.002061777472065958,3,0.16615637640020514
48,PRUNED,36.0486,0.961,64,0.0010189706881058307,3,0.11429042437903048
49,PRUNED,35.9369,0.9596,96,0.0003034711792342506,4,0.1887303330978547
50,PRUNED,35.5552,0.9578,48,0.0008241657756640053,3,0.08244691139926531
51,PRUNED,4.2119,0.0029,96,0.0038878338795051157,3,0.17894036453888149
52,PRUNED,35.9741,0.9613,64,0.0017928568483130557,3,0.16390940319220687
53,COMPLETE,36.7613,0.9657,96,0.0013277042925946957,3,0.15403109554557834
