candidate_trial,fold,epoch,val_psnr,val_ssim
44,0,0,37.115,0.9641
44,0,1,37.9708,0.9685
44,0,2,37.8816,0.9676
44,0,3,38.4434,0.9706
44,0,4,38.5271,0.971
44,1,0,36.8445,0.9689
44,1,1,37.5119,0.9715
44,1,2,38.0818,0.9747
44,1,3,38.3234,0.9757
44,1,4,38.4185,0.9761
44,2,0,37.6266,0.9736
44,2,1,38.5991,0.9777
44,2,2,38.7054,0.9782
44,2,3,39.0248,0.9792
44,2,4,39.1289,0.9797
44,3,0,37.2408,0.9696
44,3,1,37.0911,0.9651
44,3,2,38.3721,0.9748
44,3,3,38.4893,0.9749
44,3,4,38.6707,0.9759
44,4,0,36.953,0.9698
44,4,1,38.0734,0.9748
44,4,2,38.3012,0.9757
44,4,3,38.5101,0.9764
44,4,4,38.6027,0.9769
24,0,0,37.025,0.9635
24,0,1,37.7978,0.9674
24,0,2,38.1973,0.9695
24,0,3,38.4337,0.9705
24,0,4,38.5172,0.9709
24,1,0,36.9271,0.9699
24,1,1,37.6967,0.973
24,1,2,38.0751,0.9746
24,1,3,38.301,0.9756
24,1,4,38.4242,0.9762
24,2,0,37.4771,0.9727
24,2,1,38.4685,0.9771
24,2,2,38.7472,0.9783
24,2,3,38.9917,0.9791
24,2,4,39.1089,0.9796
24,3,0,37.0746,0.9689
24,3,1,38.0022,0.9729
24,3,2,38.3408,0.9744
24,3,3,38.4717,0.9746
24,3,4,38.6483,0.9757
24,4,0,36.7173,0.9687
24,4,1,37.9578,0.9746
24,4,2,38.232,0.9755
24,4,3,38.4741,0.9762
24,4,4,38.5682,0.9768
25,0,0,37.1931,0.9646
25,0,1,37.8739,0.9681
25,0,2,38.1978,0.9696
25,0,3,38.4614,0.9707
25,0,4,38.5324,0.971
25,1,0,36.9587,0.9701
25,1,1,37.6463,0.9726
25,1,2,38.0941,0.9747
25,1,3,38.3437,0.9758
25,1,4,38.4566,0.9763
25,2,0,37.2786,0.971
25,2,1,38.4898,0.9772
25,2,2,38.6872,0.9781
25,2,3,38.9998,0.9791
25,2,4,39.094,0.9795
25,3,0,37.1899,0.9695
25,3,1,37.9273,0.9722
25,3,2,38.388,0.9746
25,3,3,38.5481,0.9751
25,3,4,38.6669,0.9758
25,4,0,37.0534,0.9704
25,4,1,38.0733,0.9747
25,4,2,38.3373,0.9757
25,4,3,38.5398,0.9765
25,4,4,38.6206,0.977
34,0,0,37.1024,0.964
34,0,1,37.7931,0.9676
34,0,2,38.246,0.9698
34,0,3,38.4507,0.9706
34,0,4,38.5388,0.971
34,1,0,36.799,0.9689
34,1,1,37.5479,0.972
34,1,2,38.0099,0.9744
34,1,3,38.2838,0.9757
34,1,4,38.3932,0.9761
34,2,0,37.6132,0.9722
34,2,1,38.5979,0.9776
34,2,2,38.7072,0.9781
34,2,3,39.0198,0.9791
34,2,4,39.1505,0.9797
34,3,0,37.2332,0.969
34,3,1,37.9878,0.9728
34,3,2,38.3487,0.9743
34,3,3,38.3705,0.9745
34,3,4,38.6768,0.9758
34,4,0,37.0831,0.9706
34,4,1,38.0325,0.9745
34,4,2,38.3157,0.9757
34,4,3,38.5282,0.9766
34,4,4,38.6174,0.977
39,0,0,37.1396,0.9642
39,0,1,37.9033,0.9683
39,0,2,38.2295,0.9698
39,0,3,38.462,0.9707
39,0,4,38.5327,0.971
39,1,0,36.9039,0.9695
39,1,1,37.7176,0.9731
39,1,2,38.0475,0.9746
39,1,3,38.2718,0.9757
39,1,4,38.3894,0.9761
39,2,0,37.6315,0.9731
39,2,1,38.5515,0.9773
39,2,2,38.7061,0.978
39,2,3,38.988,0.979
39,2,4,39.1212,0.9795
39,3,0,37.1652,0.9691
39,3,1,37.837,0.9723
39,3,2,38.3155,0.9743
39,3,3,38.5266,0.9751
39,3,4,38.6716,0.9758
39,4,0,37.1406,0.9707
39,4,1,38.0524,0.9748
39,4,2,38.2763,0.9754
39,4,3,38.5118,0.9765
39,4,4,38.6006,0.9769
